epoch,accuracy,dice_coef,learning_rate,loss,precision,recall,val_accuracy,val_dice_coef,val_loss,val_precision,val_recall
0,0.0,0.027477668598294258,9.999999747378752e-05,0.9731161594390869,0.03840988129377365,0.6540192365646362,0.0,0.008548703975975513,0.9914562702178955,0.00267091765999794,0.005109154153615236
1,3.7287936720531434e-05,0.05088416114449501,9.999999747378752e-05,0.9497523903846741,0.07319145649671555,0.9224997162818909,0.0,0.009438799694180489,0.9905697703361511,0.005558962468057871,0.010110368952155113
2,0.00029361521592363715,0.06235306337475777,9.999999747378752e-05,0.9383411407470703,0.12623459100723267,0.917576253414154,0.0,0.009380166418850422,0.9906278848648071,0.002769781043753028,0.002284727292135358
3,0.0005395369953475893,0.06930714845657349,9.999999747378752e-05,0.9314521551132202,0.15565429627895355,0.9210196733474731,0.0,0.00854890514165163,0.9914584159851074,0.0022986815311014652,0.001124373753555119
4,0.0007040591444820166,0.07534574717283249,9.999999747378752e-05,0.9255050420761108,0.17890717089176178,0.9238466620445251,0.0,0.007659062743186951,0.992351233959198,0.0015194015577435493,0.0001169348688563332
5,0.0008332589641213417,0.08198487758636475,9.999999747378752e-05,0.9189510345458984,0.2046607881784439,0.9332887530326843,0.0,0.007388581987470388,0.9926388263702393,0.009324009530246258,0.00010793987894430757
6,0.0009524804190732539,0.08950156718492508,9.999999747378752e-05,0.9115051627159119,0.23629885911941528,0.9452645778656006,0.0,0.010152311064302921,0.9898415207862854,0.7298469543457031,0.025734664872288704
7,0.0010430187685415149,0.09668762981891632,9.999999747378752e-05,0.9043734669685364,0.260303258895874,0.9490843415260315,6.332397333608242e-06,0.036398448050022125,0.9630228281021118,0.5774289965629578,0.3719608187675476
8,0.001124136964790523,0.103921078145504,9.999999747378752e-05,0.897192120552063,0.28017473220825195,0.9483985900878906,0.00041988372686319053,0.06723608821630478,0.9319940805435181,0.27781713008880615,0.7903267741203308
9,0.0012274055043235421,0.11164652556180954,9.999999747378752e-05,0.8895258903503418,0.2992240786552429,0.9481261372566223,0.00017593383381608874,0.05518819019198418,0.944317102432251,0.4244202673435211,0.6277333498001099
10,0.001324874465353787,0.12030936032533646,9.999999747378752e-05,0.8809398412704468,0.31927064061164856,0.9495115280151367,0.0003158187901135534,0.05352266505360603,0.9461716413497925,0.4495639503002167,0.6204114556312561
11,0.0014207029016688466,0.13086465001106262,9.999999747378752e-05,0.870459794998169,0.3507148325443268,0.9551315307617188,0.0005870818858966231,0.06241577863693237,0.937115490436554,0.41007402539253235,0.65914386510849
12,0.0015136243309825659,0.1413484662771225,9.999999747378752e-05,0.860039472579956,0.37253040075302124,0.9551076292991638,0.0021912383381277323,0.08321736752986908,0.9166362285614014,0.18007808923721313,0.9147904515266418
13,0.0015917721902951598,0.15212498605251312,9.999999747378752e-05,0.8493279814720154,0.38740426301956177,0.9532081484794617,0.0029158401302993298,0.07353518158197403,0.9264237880706787,0.10333956032991409,0.9535139203071594
14,0.0016546030528843403,0.16345883905887604,9.999999747378752e-05,0.838067352771759,0.3961382210254669,0.9525200724601746,0.001051826518960297,0.08778242021799088,0.9119835495948792,0.3694791793823242,0.6928120851516724
15,0.001729839015752077,0.1769532412290573,9.999999747378752e-05,0.8246449828147888,0.42289698123931885,0.9495238065719604,0.0009882354643195868,0.09068365395069122,0.9095051288604736,0.37136951088905334,0.6415496468544006
16,0.0018131168326362967,0.19138899445533752,9.999999747378752e-05,0.8102631568908691,0.4432609975337982,0.9470347762107849,0.0002821731613948941,0.0700874850153923,0.9297738671302795,0.5427425503730774,0.4138684868812561
17,0.001863013720139861,0.20576106011867523,9.999999747378752e-05,0.7958807945251465,0.4525635838508606,0.9437798857688904,0.00037509918911382556,0.08576209843158722,0.9137179851531982,0.5186410546302795,0.4935190975666046
18,0.001922699622809887,0.22163867950439453,9.999999747378752e-05,0.7801149487495422,0.4680594205856323,0.9418834447860718,0.0008485793950967491,0.11920993030071259,0.8802054524421692,0.4132314622402191,0.6933158040046692
